index,timerange,start_day,end_day,status,error,result_file,plans_file_count,pnl_quote,pnl_pct,initial_equity,end_equity,fills,stop_events,seed_events,rebuild_events,soft_adjust_events,action_start,action_hold,action_stop,start_blocker_counts,start_counterfactual_single_counts,start_counterfactual_combo_counts,hold_reason_counts,stop_reason_counts,stop_event_reason_counts,stop_reason_counts_combined,top_start_blocker,top_start_counterfactual_single,top_start_counterfactual_combo,top_stop_reason
1,20260209-20260210,20260209,20260210,ok,,/home/kani/grid-ml-system/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001.result.json,96,12.01847106351147,1.2018471063511393,1000.0,1012.0184710635115,12,5,1,0,36,5,86,5,"{""cooldown_active"": 15, ""gate_fail:bbw_nonexp"": 9, ""gate_fail:bbwp_gate_ok"": 71, ""gate_fail:cvd_gate_ok"": 24, ""gate_fail:fvg_gate_ok"": 51, ""gate_fail:mrvd_gate_ok"": 3, ""gate_fail:os_dev_build_ok"": 21, ""reclaim_active"": 35, ""rsi_out_of_range"": 44, ""stop_rule_active"": 5}","{""gate_fail:bbwp_gate_ok"": 16, ""gate_fail:fvg_gate_ok"": 9, ""gate_fail:mrvd_gate_ok"": 1, ""gate_fail:os_dev_build_ok"": 1, ""rsi_out_of_range"": 3}","{""gate_fail:bbw_nonexp+gate_fail:bbwp_gate_ok+gate_fail:cvd_gate_ok"": 1, ""gate_fail:bbw_nonexp+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok"": 1, ""gate_fail:bbw_nonexp+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+gate_fail:cvd_gate_ok+rsi_out_of_range"": 1, ""gate_fail:bbw_nonexp+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+rsi_out_of_range"": 2, ""gate_fail:bbw_nonexp+gate_fail:bbwp_gate_ok+rsi_out_of_range"": 2, ""gate_fail:bbwp_gate_ok"": 16, ""gate_fail:bbwp_gate_ok+gate_fail:cvd_gate_ok"": 1, ""gate_fail:bbwp_gate_ok+gate_fail:cvd_gate_ok+rsi_out_of_range"": 3, ""gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok"": 12, ""gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+gate_fail:cvd_gate_ok+rsi_out_of_range"": 5, ""gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+rsi_out_of_range"": 3, ""gate_fail:bbwp_gate_ok+gate_fail:mrvd_gate_ok+rsi_out_of_range"": 1, ""gate_fail:bbwp_gate_ok+gate_fail:os_dev_build_ok"": 1, ""gate_fail:bbwp_gate_ok+gate_fail:os_dev_build_ok+gate_fail:cvd_gate_ok+rsi_out_of_range"": 1, ""gate_fail:bbwp_gate_ok+gate_fail:os_dev_build_ok+gate_fail:fvg_gate_ok"": 3, ""gate_fail:bbwp_gate_ok+gate_fail:os_dev_build_ok+gate_fail:fvg_gate_ok+gate_fail:cvd_gate_ok+rsi_out_of_range"": 3, ""gate_fail:bbwp_gate_ok+gate_fail:os_dev_build_ok+gate_fail:fvg_gate_ok+rsi_out_of_range"": 3, ""gate_fail:bbwp_gate_ok+rsi_out_of_range"": 7, ""gate_fail:fvg_gate_ok"": 9, ""gate_fail:fvg_gate_ok+gate_fail:cvd_gate_ok+rsi_out_of_range"": 2, ""gate_fail:mrvd_gate_ok"": 1, ""gate_fail:os_dev_build_ok"": 1, ""gate_fail:os_dev_build_ok+gate_fail:cvd_gate_ok+rsi_out_of_range"": 1, ""gate_fail:os_dev_build_ok+gate_fail:fvg_gate_ok"": 1, ""gate_fail:os_dev_build_ok+gate_fail:fvg_gate_ok+gate_fail:mrvd_gate_ok+gate_fail:cvd_gate_ok+rsi_out_of_range"": 1, ""gate_fail:os_dev_build_ok+rsi_out_of_range"": 1, ""rsi_out_of_range"": 3}","{""cooldown_active"": 12, ""gate_fail:bbw_nonexp"": 7, ""gate_fail:bbwp_gate_ok"": 66, ""gate_fail:cvd_gate_ok"": 19, ""gate_fail:fvg_gate_ok"": 46, ""gate_fail:mrvd_gate_ok"": 3, ""gate_fail:os_dev_build_ok"": 16, ""reclaim_active"": 32, ""rsi_out_of_range"": 39}","{""os_dev_trend_stop"": 5}","{""PLAN_STOP"": 5}","{""event:PLAN_STOP"": 5, ""os_dev_trend_stop"": 5}",gate_fail:bbwp_gate_ok:71,gate_fail:bbwp_gate_ok:16,gate_fail:bbwp_gate_ok:16,event:PLAN_STOP:5
2,20260210-20260211,20260210,20260211,ok,,/home/kani/grid-ml-system/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002.result.json,96,0.0,0.0,1000.0,1000.0,0,12,0,0,0,0,84,12,"{""cooldown_active"": 27, ""gate_fail:bbw_nonexp"": 2, ""gate_fail:bbwp_gate_ok"": 89, ""gate_fail:cvd_gate_ok"": 24, ""gate_fail:fvg_gate_ok"": 91, ""gate_fail:os_dev_build_ok"": 41, ""gate_fail:vol_ok"": 4, ""reclaim_active"": 53, ""rsi_out_of_range"": 40, ""stop_rule_active"": 12}","{""gate_fail:bbwp_gate_ok"": 5, ""gate_fail:fvg_gate_ok"": 4}","{""gate_fail:bbw_nonexp+gate_fail:bbwp_gate_ok+gate_fail:os_dev_build_ok+gate_fail:fvg_gate_ok+gate_fail:cvd_gate_ok+rsi_out_of_range"": 1, ""gate_fail:bbwp_gate_ok"": 5, ""gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok"": 31, ""gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+gate_fail:cvd_gate_ok"": 3, ""gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+rsi_out_of_range"": 8, ""gate_fail:bbwp_gate_ok+gate_fail:os_dev_build_ok+gate_fail:fvg_gate_ok"": 7, ""gate_fail:bbwp_gate_ok+gate_fail:os_dev_build_ok+gate_fail:fvg_gate_ok+gate_fail:cvd_gate_ok"": 1, ""gate_fail:bbwp_gate_ok+gate_fail:os_dev_build_ok+gate_fail:fvg_gate_ok+gate_fail:cvd_gate_ok+rsi_out_of_range"": 9, ""gate_fail:bbwp_gate_ok+gate_fail:os_dev_build_ok+gate_fail:fvg_gate_ok+rsi_out_of_range"": 11, ""gate_fail:fvg_gate_ok"": 4, ""gate_fail:fvg_gate_ok+gate_fail:cvd_gate_ok"": 3, ""gate_fail:vol_ok+gate_fail:bbwp_gate_ok+gate_fail:os_dev_build_ok+gate_fail:fvg_gate_ok+gate_fail:cvd_gate_ok+rsi_out_of_range"": 1}","{""cooldown_active"": 18, ""gate_fail:bbw_nonexp"": 1, ""gate_fail:bbwp_gate_ok"": 77, ""gate_fail:cvd_gate_ok"": 18, ""gate_fail:fvg_gate_ok"": 79, ""gate_fail:os_dev_build_ok"": 30, ""gate_fail:vol_ok"": 1, ""reclaim_active"": 44, ""rsi_out_of_range"": 30}","{""os_dev_trend_stop"": 11, ""range_shift_stop"": 1}","{""PLAN_STOP"": 12}","{""event:PLAN_STOP"": 12, ""os_dev_trend_stop"": 11, ""range_shift_stop"": 1}",gate_fail:fvg_gate_ok:91,gate_fail:bbwp_gate_ok:5,gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok:31,event:PLAN_STOP:12
3,20260211-20260212,20260211,20260212,ok,,/home/kani/grid-ml-system/freqtrade/user_data/walkforward/step1-smoke-20260212/window_003.result.json,96,-20.99319803856008,-2.0993198038560035,1000.0,979.0068019614399,6,6,1,0,26,1,89,6,"{""cooldown_active"": 15, ""gate_fail:bbw_nonexp"": 7, ""gate_fail:bbwp_gate_ok"": 76, ""gate_fail:cvd_gate_ok"": 29, ""gate_fail:ema_dist_ok"": 69, ""gate_fail:fvg_gate_ok"": 85, ""gate_fail:mrvd_gate_ok"": 2, ""gate_fail:os_dev_build_ok"": 30, ""gate_fail:vol_ok"": 8, ""reclaim_active"": 35, ""rsi_out_of_range"": 35, ""stop_rule_active"": 6, ""stop_rule_suppressed_by_min_runtime"": 1}","{""gate_fail:cvd_gate_ok"": 8, ""gate_fail:fvg_gate_ok"": 5}","{""gate_fail:bbw_nonexp+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+rsi_out_of_range"": 1, ""gate_fail:bbw_nonexp+gate_fail:bbwp_gate_ok+gate_fail:os_dev_build_ok+gate_fail:fvg_gate_ok+gate_fail:cvd_gate_ok+rsi_out_of_range"": 1, ""gate_fail:bbw_nonexp+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+gate_fail:cvd_gate_ok+rsi_out_of_range"": 1, ""gate_fail:bbw_nonexp+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+rsi_out_of_range"": 1, ""gate_fail:bbw_nonexp+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:os_dev_build_ok+gate_fail:fvg_gate_ok+rsi_out_of_range"": 1, ""gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+gate_fail:cvd_gate_ok+rsi_out_of_range"": 4, ""gate_fail:bbwp_gate_ok+gate_fail:os_dev_build_ok+gate_fail:fvg_gate_ok+gate_fail:cvd_gate_ok+rsi_out_of_range"": 3, ""gate_fail:cvd_gate_ok"": 8, ""gate_fail:cvd_gate_ok+rsi_out_of_range"": 1, ""gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok"": 1, ""gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok"": 24, ""gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+gate_fail:cvd_gate_ok"": 2, ""gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+gate_fail:cvd_gate_ok+rsi_out_of_range"": 2, ""gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+rsi_out_of_range"": 8, ""gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:os_dev_build_ok+gate_fail:fvg_gate_ok"": 11, ""gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:os_dev_build_ok+gate_fail:fvg_gate_ok+gate_fail:cvd_gate_ok"": 1, ""gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:os_dev_build_ok+gate_fail:fvg_gate_ok+gate_fail:mrvd_gate_ok+rsi_out_of_range"": 1, ""gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:os_dev_build_ok+gate_fail:fvg_gate_ok+rsi_out_of_range"": 2, ""gate_fail:ema_dist_ok+gate_fail:fvg_gate_ok+gate_fail:cvd_gate_ok+rsi_out_of_range"": 1, ""gate_fail:ema_dist_ok+gate_fail:vol_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok"": 5, ""gate_fail:ema_dist_ok+gate_fail:vol_ok+gate_fail:bbwp_gate_ok+gate_fail:os_dev_build_ok+gate_fail:fvg_gate_ok"": 1, ""gate_fail:ema_dist_ok+gate_fail:vol_ok+gate_fail:bbwp_gate_ok+gate_fail:os_dev_build_ok+gate_fail:fvg_gate_ok+rsi_out_of_range"": 1, ""gate_fail:fvg_gate_ok"": 5, ""gate_fail:fvg_gate_ok+gate_fail:cvd_gate_ok"": 1, ""gate_fail:os_dev_build_ok+gate_fail:fvg_gate_ok+gate_fail:cvd_gate_ok"": 1, ""gate_fail:os_dev_build_ok+gate_fail:fvg_gate_ok+gate_fail:cvd_gate_ok+rsi_out_of_range"": 1}","{""cooldown_active"": 11, ""gate_fail:bbw_nonexp"": 5, ""gate_fail:bbwp_gate_ok"": 71, ""gate_fail:cvd_gate_ok"": 27, ""gate_fail:ema_dist_ok"": 63, ""gate_fail:fvg_gate_ok"": 79, ""gate_fail:mrvd_gate_ok"": 1, ""gate_fail:os_dev_build_ok"": 24, ""gate_fail:vol_ok"": 7, ""reclaim_active"": 31, ""rsi_out_of_range"": 29, ""stop_rule_suppressed_by_min_runtime"": 1}","{""os_dev_trend_stop"": 5, ""range_shift_stop"": 1}","{""PLAN_STOP"": 6}","{""event:PLAN_STOP"": 6, ""os_dev_trend_stop"": 5, ""range_shift_stop"": 1}",gate_fail:fvg_gate_ok:85,gate_fail:cvd_gate_ok:8,gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok:24,event:PLAN_STOP:6
