index,timerange,start_day,end_day,status,error,result_file,plans_file_count,pnl_quote,pnl_pct,initial_equity,end_equity,fills,stop_events,seed_events,rebuild_events,soft_adjust_events,action_start,action_hold,action_stop,start_blocker_counts,hold_reason_counts,stop_reason_counts,stop_event_reason_counts,stop_reason_counts_combined,top_start_blocker,top_stop_reason
1,20260201-20260203,20260201,20260203,ok,,/home/kani/grid-ml-system/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass14_ema012/window_001.result.json,192,0.0,0.0,1000.0,1000.0,0,39,0,0,0,0,153,39,"{""cooldown_active"": 85, ""gate_fail:adx_ok"": 192, ""gate_fail:bbw_nonexp"": 8, ""gate_fail:bbwp_gate_ok"": 192, ""gate_fail:cvd_gate_ok"": 42, ""gate_fail:ema_dist_ok"": 192, ""gate_fail:fvg_gate_ok"": 76, ""gate_fail:mrvd_gate_ok"": 85, ""gate_fail:os_dev_build_ok"": 108, ""gate_fail:vol_ok"": 4, ""gate_fail:vrvp_box_ok"": 1, ""reclaim_active"": 149, ""rsi_out_of_range"": 59, ""stop_rule_active"": 39}","{""cooldown_active"": 54, ""gate_fail:adx_ok"": 153, ""gate_fail:bbw_nonexp"": 3, ""gate_fail:bbwp_gate_ok"": 153, ""gate_fail:cvd_gate_ok"": 21, ""gate_fail:ema_dist_ok"": 153, ""gate_fail:fvg_gate_ok"": 64, ""gate_fail:mrvd_gate_ok"": 69, ""gate_fail:os_dev_build_ok"": 71, ""gate_fail:vol_ok"": 3, ""gate_fail:vrvp_box_ok"": 1, ""reclaim_active"": 115, ""rsi_out_of_range"": 32}","{""os_dev_trend_stop"": 31, ""range_shift_stop"": 8}","{""PLAN_STOP"": 39}","{""event:PLAN_STOP"": 39, ""os_dev_trend_stop"": 31, ""range_shift_stop"": 8}",gate_fail:adx_ok:192,event:PLAN_STOP:39
2,20260203-20260205,20260203,20260205,ok,,/home/kani/grid-ml-system/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass14_ema012/window_002.result.json,192,0.0,0.0,1000.0,1000.0,0,19,0,0,0,0,173,19,"{""cooldown_active"": 49, ""gate_fail:adx_ok"": 192, ""gate_fail:bbw_nonexp"": 13, ""gate_fail:bbwp_gate_ok"": 89, ""gate_fail:cvd_gate_ok"": 54, ""gate_fail:ema_dist_ok"": 192, ""gate_fail:fvg_gate_ok"": 157, ""gate_fail:mrvd_gate_ok"": 9, ""gate_fail:os_dev_build_ok"": 74, ""gate_fail:vol_ok"": 8, ""gate_fail:vrvp_box_ok"": 1, ""reclaim_active"": 91, ""rsi_out_of_range"": 56, ""stop_rule_active"": 19}","{""cooldown_active"": 36, ""gate_fail:adx_ok"": 173, ""gate_fail:bbw_nonexp"": 8, ""gate_fail:bbwp_gate_ok"": 74, ""gate_fail:cvd_gate_ok"": 38, ""gate_fail:ema_dist_ok"": 173, ""gate_fail:fvg_gate_ok"": 138, ""gate_fail:mrvd_gate_ok"": 8, ""gate_fail:os_dev_build_ok"": 55, ""gate_fail:vol_ok"": 4, ""gate_fail:vrvp_box_ok"": 1, ""reclaim_active"": 76, ""rsi_out_of_range"": 39}","{""os_dev_trend_stop"": 16, ""range_shift_stop"": 3}","{""PLAN_STOP"": 19}","{""event:PLAN_STOP"": 19, ""os_dev_trend_stop"": 16, ""range_shift_stop"": 3}",gate_fail:adx_ok:192,event:PLAN_STOP:19
3,20260205-20260207,20260205,20260207,ok,,/home/kani/grid-ml-system/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass14_ema012/window_003.result.json,192,0.0,0.0,1000.0,1000.0,0,45,0,0,0,0,147,45,"{""cooldown_active"": 81, ""gate_fail:adx_ok"": 192, ""gate_fail:bbw_nonexp"": 18, ""gate_fail:bbwp_gate_ok"": 184, ""gate_fail:cvd_gate_ok"": 58, ""gate_fail:ema_dist_ok"": 192, ""gate_fail:fvg_gate_ok"": 156, ""gate_fail:mrvd_gate_ok"": 12, ""gate_fail:os_dev_build_ok"": 127, ""gate_fail:vol_ok"": 4, ""reclaim_active"": 141, ""rsi_out_of_range"": 88, ""stop_rule_active"": 45}","{""cooldown_active"": 45, ""gate_fail:adx_ok"": 147, ""gate_fail:bbw_nonexp"": 10, ""gate_fail:bbwp_gate_ok"": 139, ""gate_fail:cvd_gate_ok"": 32, ""gate_fail:ema_dist_ok"": 147, ""gate_fail:fvg_gate_ok"": 112, ""gate_fail:mrvd_gate_ok"": 7, ""gate_fail:os_dev_build_ok"": 85, ""gate_fail:vol_ok"": 4, ""reclaim_active"": 100, ""rsi_out_of_range"": 53}","{""os_dev_trend_stop"": 36, ""range_shift_stop"": 9}","{""PLAN_STOP"": 45}","{""event:PLAN_STOP"": 45, ""os_dev_trend_stop"": 36, ""range_shift_stop"": 9}",gate_fail:adx_ok:192,event:PLAN_STOP:45
4,20260207-20260209,20260207,20260209,ok,,/home/kani/grid-ml-system/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass14_ema012/window_004.result.json,192,1.853970739805277,0.18539707398053107,1000.0,1001.8539707398053,7,19,1,0,14,7,166,19,"{""cooldown_active"": 45, ""gate_fail:adx_ok"": 175, ""gate_fail:bbw_nonexp"": 6, ""gate_fail:bbwp_gate_ok"": 52, ""gate_fail:cvd_gate_ok"": 33, ""gate_fail:ema_dist_ok"": 159, ""gate_fail:fvg_gate_ok"": 86, ""gate_fail:mrvd_gate_ok"": 5, ""gate_fail:os_dev_build_ok"": 104, ""gate_fail:vol_ok"": 4, ""gate_fail:vrvp_box_ok"": 11, ""price_outside_box"": 1, ""reclaim_active"": 103, ""rsi_out_of_range"": 67, ""stop_rule_active"": 19}","{""cooldown_active"": 31, ""gate_fail:adx_ok"": 156, ""gate_fail:bbw_nonexp"": 6, ""gate_fail:bbwp_gate_ok"": 41, ""gate_fail:cvd_gate_ok"": 31, ""gate_fail:ema_dist_ok"": 141, ""gate_fail:fvg_gate_ok"": 70, ""gate_fail:mrvd_gate_ok"": 5, ""gate_fail:os_dev_build_ok"": 85, ""gate_fail:vol_ok"": 4, ""gate_fail:vrvp_box_ok"": 10, ""price_outside_box"": 1, ""reclaim_active"": 88, ""rsi_out_of_range"": 51}","{""os_dev_trend_stop"": 17, ""range_shift_stop"": 2}","{""PLAN_STOP"": 19}","{""event:PLAN_STOP"": 19, ""os_dev_trend_stop"": 17, ""range_shift_stop"": 2}",gate_fail:adx_ok:175,event:PLAN_STOP:19
