ts,close,quote,base,equity,open_orders,stop,action,plan_index,plan_time_utc,start_counterfactual_required_count,start_counterfactual_single,start_counterfactual_combo,start_counterfactual_required
2026-02-01T00:00:00+00:00,2465.07,1000.0,0.0,1000.0,0,False,HOLD,0,2026-02-01 00:00:00+00:00,5,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+gate_fail:mrvd_gate_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok|gate_fail:fvg_gate_ok|gate_fail:mrvd_gate_ok
2026-02-01T00:15:00+00:00,2455.97,1000.0,0.0,1000.0,0,False,HOLD,1,2026-02-01 00:15:00+00:00,5,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+gate_fail:mrvd_gate_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok|gate_fail:fvg_gate_ok|gate_fail:mrvd_gate_ok
2026-02-01T00:30:00+00:00,2450.04,1000.0,0.0,1000.0,0,False,HOLD,2,2026-02-01 00:30:00+00:00,5,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+gate_fail:mrvd_gate_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok|gate_fail:fvg_gate_ok|gate_fail:mrvd_gate_ok
2026-02-01T00:45:00+00:00,2452.18,1000.0,0.0,1000.0,0,False,HOLD,3,2026-02-01 00:45:00+00:00,5,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+gate_fail:mrvd_gate_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok|gate_fail:fvg_gate_ok|gate_fail:mrvd_gate_ok
2026-02-01T01:00:00+00:00,2440.96,1000.0,0.0,1000.0,0,False,HOLD,4,2026-02-01 01:00:00+00:00,5,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+gate_fail:mrvd_gate_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok|gate_fail:fvg_gate_ok|gate_fail:mrvd_gate_ok
2026-02-01T01:15:00+00:00,2452.51,1000.0,0.0,1000.0,0,False,HOLD,5,2026-02-01 01:15:00+00:00,5,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+gate_fail:mrvd_gate_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok|gate_fail:fvg_gate_ok|gate_fail:mrvd_gate_ok
2026-02-01T01:30:00+00:00,2436.94,1000.0,0.0,1000.0,0,False,HOLD,6,2026-02-01 01:30:00+00:00,4,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok|gate_fail:fvg_gate_ok
2026-02-01T01:45:00+00:00,2444.7,1000.0,0.0,1000.0,0,False,HOLD,7,2026-02-01 01:45:00+00:00,5,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+gate_fail:mrvd_gate_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok|gate_fail:fvg_gate_ok|gate_fail:mrvd_gate_ok
2026-02-01T02:00:00+00:00,2456.77,1000.0,0.0,1000.0,0,False,HOLD,8,2026-02-01 02:00:00+00:00,5,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+gate_fail:mrvd_gate_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok|gate_fail:fvg_gate_ok|gate_fail:mrvd_gate_ok
2026-02-01T02:15:00+00:00,2446.26,1000.0,0.0,1000.0,0,True,STOP,9,2026-02-01 02:15:00+00:00,5,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+gate_fail:mrvd_gate_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok|gate_fail:fvg_gate_ok|gate_fail:mrvd_gate_ok
2026-02-01T02:30:00+00:00,2451.57,1000.0,0.0,1000.0,0,False,HOLD,10,2026-02-01 02:30:00+00:00,5,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+gate_fail:mrvd_gate_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok|gate_fail:fvg_gate_ok|gate_fail:mrvd_gate_ok
2026-02-01T02:45:00+00:00,2452.61,1000.0,0.0,1000.0,0,False,HOLD,11,2026-02-01 02:45:00+00:00,5,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+gate_fail:mrvd_gate_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok|gate_fail:fvg_gate_ok|gate_fail:mrvd_gate_ok
2026-02-01T03:00:00+00:00,2449.55,1000.0,0.0,1000.0,0,False,HOLD,12,2026-02-01 03:00:00+00:00,5,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+gate_fail:mrvd_gate_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok|gate_fail:fvg_gate_ok|gate_fail:mrvd_gate_ok
2026-02-01T03:15:00+00:00,2443.11,1000.0,0.0,1000.0,0,False,HOLD,13,2026-02-01 03:15:00+00:00,5,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+gate_fail:mrvd_gate_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok|gate_fail:fvg_gate_ok|gate_fail:mrvd_gate_ok
2026-02-01T03:30:00+00:00,2440.97,1000.0,0.0,1000.0,0,False,HOLD,14,2026-02-01 03:30:00+00:00,5,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+gate_fail:mrvd_gate_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok|gate_fail:fvg_gate_ok|gate_fail:mrvd_gate_ok
2026-02-01T03:45:00+00:00,2445.46,1000.0,0.0,1000.0,0,False,HOLD,15,2026-02-01 03:45:00+00:00,5,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+gate_fail:mrvd_gate_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok|gate_fail:fvg_gate_ok|gate_fail:mrvd_gate_ok
2026-02-01T04:00:00+00:00,2452.11,1000.0,0.0,1000.0,0,False,HOLD,16,2026-02-01 04:00:00+00:00,5,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+gate_fail:mrvd_gate_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok|gate_fail:fvg_gate_ok|gate_fail:mrvd_gate_ok
2026-02-01T04:15:00+00:00,2448.22,1000.0,0.0,1000.0,0,False,HOLD,17,2026-02-01 04:15:00+00:00,5,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+gate_fail:mrvd_gate_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok|gate_fail:fvg_gate_ok|gate_fail:mrvd_gate_ok
2026-02-01T04:30:00+00:00,2452.66,1000.0,0.0,1000.0,0,False,HOLD,18,2026-02-01 04:30:00+00:00,5,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok+gate_fail:mrvd_gate_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok|gate_fail:fvg_gate_ok|gate_fail:mrvd_gate_ok
