ts_utc,side,price,qty_base,fee_quote,reason
2026-02-08T00:00:00+00:00,buy,2085.96356394177,0.0684849655701516,0.14285714285714288,FILL
2026-02-08T02:00:00+00:00,sell,2099.52593990295,0.0684849655701516,0.1437859617078937,FILL
2026-02-08T02:45:00+00:00,buy,2085.96356394177,0.0684849655701516,0.14285714285714288,FILL
2026-02-08T04:00:00+00:00,buy,2072.40118798059,0.06893315043712514,0.14285714285714288,FILL
2026-02-08T04:45:00+00:00,sell,2085.96356394177,0.06893315043712514,0.14379204015955974,FILL
2026-02-08T07:00:00+00:00,buy,2072.40118798059,0.06893315043712514,0.14285714285714288,FILL
2026-02-08T08:00:00+00:00,sell,2085.96356394177,0.06893315043712514,0.14379204015955974,FILL
2026-02-08T08:15:00+00:00,sell,2099.52593990295,0.0684849655701516,0.1437859617078937,FILL
2026-02-08T10:15:00+00:00,buy,2085.96356394177,0.0684849655701516,0.14285714285714288,FILL
2026-02-08T10:45:00+00:00,sell,2099.52593990295,0.0684849655701516,0.1437859617078937,FILL
2026-02-08T16:45:00+00:00,buy,2085.96356394177,0.0684849655701516,0.14285714285714288,FILL
2026-02-08T18:30:00+00:00,sell,2099.52593990295,0.0684849655701516,0.1437859617078937,FILL
2026-02-08T23:15:00+00:00,buy,2085.96356394177,0.0684849655701516,0.14285714285714288,FILL
2026-02-08T23:30:00+00:00,buy,2072.40118798059,0.06893315043712514,0.14285714285714288,FILL
2026-02-08T23:45:00+00:00,sell,2099.52593990295,0.0684849655701516,0.1437859617078937,FILL
2026-02-08T23:45:00+00:00,sell,2085.96356394177,0.06893315043712514,0.14379204015955974,FILL
2026-02-09T00:15:00+00:00,buy,2085.96356394177,0.0684849655701516,0.14285714285714288,FILL
2026-02-09T01:15:00+00:00,sell,2099.52593990295,0.0684849655701516,0.1437859617078937,FILL
2026-02-09T01:30:00+00:00,buy,2058.83881201941,0.06938724004188632,0.14285714285714288,FILL
2026-02-09T01:30:00+00:00,buy,2072.40118798059,0.06893315043712514,0.14285714285714288,FILL
2026-02-09T01:30:00+00:00,buy,2085.96356394177,0.0684849655701516,0.14285714285714288,FILL
2026-02-09T01:45:00+00:00,sell,2072.40118798059,0.06938724004188632,0.14379819869349955,FILL
2026-02-09T02:30:00+00:00,sell,2085.96356394177,0.06893315043712514,0.14379204015955974,FILL
2026-02-09T03:45:00+00:00,sell,2099.52593990295,0.0684849655701516,0.1437859617078937,FILL
2026-02-09T05:00:00+00:00,buy,2085.96356394177,0.0684849655701516,0.14285714285714288,FILL
2026-02-09T07:30:00+00:00,buy,2072.40118798059,0.06893315043712514,0.14285714285714288,FILL
2026-02-09T08:15:00+00:00,buy,2058.83881201941,0.06938724004188632,0.14285714285714288,FILL
2026-02-09T08:30:00+00:00,buy,2045.27643605823,0.06984735184866504,0.14285714285714288,FILL
2026-02-09T10:15:00+00:00,buy,2031.7140600970502,0.07031360645814447,0.14285714285714288,FILL
2026-02-09T10:30:00+00:00,buy,2018.15168413587,0.07078612771284894,0.14285714285714288,FILL
2026-02-09T11:00:00+00:00,sell,2031.7140600970502,0.07078612771284894,0.14381717093402063,FILL
2026-02-09T13:00:00+00:00,sell,2045.27643605823,0.07031360645814447,0.14381076242311466,FILL
2026-02-09T13:45:00+00:00,buy,2031.7140600970502,0.07031360645814447,0.14285714285714288,FILL
2026-02-09T14:00:00+00:00,buy,2018.15168413587,0.07078612771284894,0.14285714285714288,FILL
2026-02-09T14:30:00+00:00,sell,2045.27643605823,0.07031360645814447,0.14381076242311466,FILL
2026-02-09T14:30:00+00:00,sell,2031.7140600970502,0.07078612771284894,0.14381717093402063,FILL
2026-02-09T15:00:00+00:00,sell,2072.40118798059,0.06938724004188632,0.14379819869349955,FILL
2026-02-09T15:00:00+00:00,sell,2058.83881201941,0.06984735184866504,0.14380443890280728,FILL
2026-02-09T15:15:00+00:00,buy,2058.83881201941,0.06938724004188632,0.14285714285714288,FILL
2026-02-09T15:15:00+00:00,buy,2045.27643605823,0.06984735184866504,0.14285714285714288,FILL
2026-02-09T15:30:00+00:00,sell,2058.83881201941,0.06984735184866504,0.14380443890280728,FILL
2026-02-09T16:30:00+00:00,sell,2072.40118798059,0.06938724004188632,0.14379819869349955,FILL
2026-02-09T16:45:00+00:00,sell,2099.52593990295,0.0684849655701516,0.1437859617078937,FILL
2026-02-09T16:45:00+00:00,sell,2085.96356394177,0.06893315043712514,0.14379204015955974,FILL
2026-02-09T17:00:00+00:00,buy,2085.96356394177,0.0684849655701516,0.14285714285714288,FILL
2026-02-09T17:30:00+00:00,sell,2099.52593990295,0.0684849655701516,0.1437859617078937,FILL
