ts,close,quote,base,equity,open_orders,stop
2026-02-04T00:00:00+00:00,2241.02,1000.0,0.0,1000.0,1,False
2026-02-04T01:00:00+00:00,2268.64,1000.0,0.0,1000.0,1,False
2026-02-04T02:00:00+00:00,2251.82,1000.0,0.0,1000.0,1,False
2026-02-04T03:00:00+00:00,2283.37,1000.0,0.0,1000.0,1,False
2026-02-04T04:00:00+00:00,2273.78,1000.0,0.0,1000.0,1,False
2026-02-04T05:00:00+00:00,2265.4,1000.0,0.0,1000.0,1,False
2026-02-04T06:00:00+00:00,2277.54,1000.0,0.0,1000.0,1,False
2026-02-04T07:00:00+00:00,2283.85,1000.0,0.0,1000.0,1,False
2026-02-04T08:00:00+00:00,2279.73,1000.0,0.0,1000.0,1,False
2026-02-04T09:00:00+00:00,2260.65,1000.0,0.0,1000.0,1,False
2026-02-04T10:00:00+00:00,2260.74,1000.0,0.0,1000.0,1,False
2026-02-04T11:00:00+00:00,2254.86,1000.0,0.0,1000.0,1,False
2026-02-04T12:00:00+00:00,2243.92,1000.0,0.0,1000.0,1,False
2026-02-04T13:00:00+00:00,2198.63,1000.0,0.0,1000.0,0,True
